title,Hardware Heterogeneity,Limited Networking Capabilities,Limited Computational Resources,Unbalanced Client Data,Non-I.I.D. Training Data,Variable Client Availability,Client Participation,Security,Client Reliability
AgingFedNAS: Aging evolution federated deep learning for architecture and hyperparameter search,,,,,,,,,
APONS: Accelerating federated learning architecture in 6G based on parameter optimization and neural architecture search,,,,,,,,,
Bilevel hyperparameter optimization and neural architecture search for enhanced breast cancer detection in smart hospitals interconnected with decentralized federated learning environment,,,,,,,,,
Federated neural architecture search for medical data security,,,,,,,,,
Toward tailored models on private AIoT devices: Federated direct neural architecture search,,,,,,,,,
Collaborative neural architecture search for personalized federated learning,,,,,,,,,
Federated neural architecture search,,,,,,,,,
Direct federated neural architecture search,,,,,,,,,
Divide-and-conquer the NAS puzzle in resource-constrained federated learning systems,,,,,,,,,
Differentially-private federated neural architecture search,,,,,,,,,
DSNAS: Direct neural architecture search without parameter retraining,,,,,,,,,
EFNAS: Efficient federated neural architecture search across AIoT devices,,,,,,,,,
Personalized federated DARTS for electricity load forecasting of individual buildings,,,,,,,,,
ENASFL: A federated neural architecture search scheme for heterogeneous deep models in distributed edge computing systems,,,,,,,,,
A prediction optimization method with federated learning and neural architecture search for distributed renewable energy sources,,,,,,,,,
A novel centralized federated deep fuzzy neural network with multi-objectives neural architecture search for epistatic detection,,,,,,,,,
F2NAS: Flexible federated neural architecture search in green edge computing,,,,,,,,,
FEATHERS: Federated architecture and hyperparameter search,,,,,,,,,
FedAutoMRI: Federated neural architecture search for MR image reconstruction,,,,,,,,,
Federated bayesian optimization for privacy-preserving neural architecture search,,,,,,,,,
Federated Neural Architecture Search with Model-Agnostic Meta Learning,,,,,,,,,
Towards Non-I.I.D. and invisible data with FedNAS: Federated deep learning via neural architecture search,,,,,,,,,
Automated federated learning‐based adversarial attack and defence in industrial control systems,,,,,,,,,
Federated neural architecture search for efficient and privacy-preserving model training,,,,,,,,,
When neural network architecture search meets federated learning parameter efficient fine tuning,,,,,,,,,
FedorAS: Federated architecture search under system heterogeneity,,,,,,,,,
Personalized neural architecture search for federated learning,,,,,,,,,
FGFL: Fine-grained federated learning based on neural architecture search for heterogeneous clients,,,,,,,,,
Finch: Enhancing federated learning with hierarchical neural architecture search,,,,,,,,,
Federated model search via reinforcement learning,,,,,,,,,
Automated graph neural network search under federated learning framework,,,,,,,,,
Federated learning with heterogeneous architectures using graph HyperNetworks,,,,,,,,,
Heterogeneity-aware personalized federated neural architecture search,,,,,,,,,
Heterogeneous federated learning based on graph hypernetwork,,,,,,,,,
Automated federated learning for intrusion detection of industrial control systems based on evolutionary neural architecture search,,,,,,,,,
Lightweight federated learning for on-device non-intrusive load monitoring,,,,,,,,,
Federated neural architecture search with hierarchical progressive acceleration for medical image segmentation,,,,,,,,,
Generalizable reconstruction for accelerating MR imaging via federated learning with neural architecture search,,,,,,,,,
Privacy-preserving multi-granular federated neural architecture search – a general framework,,,,,,,,,
Multi-objective evolutionary federated learning,,,,,,,,,
NASFLY: On-device split federated learning with neural architecture search,,,,,,,,,
Network-aware federated neural architecture search,,,,,,,,,
Optimizing federated edge learning on non-IID data via neural architecture search,,,,,,,,,
Peaches: Personalized federated learning with neural architecture search in edge computing,,,,,,,,,
PerFedRLNAS: One-for-all personalized federated neural architecture search,,,,,,,,,
Large language models enhanced personalized graph neural architecture search in federated learning,,,,,,,,,
Privacy-preserving federated neural architecture search with enhanced robustness for edge computing,,,,,,,,,
Privacy-preserving neural architecture search across federated IoT devices,,,,,,,,,
Federated whole prostate segmentation in MRI with personalized neural architectures,,,,,,,,,
Resource-aware heterogeneous federated learning with Specialized local models,,,,,,,,,
Toward federated customized neural architecture search for remote sensing scene classification,,,,,,,,,
Real-time federated evolutionary neural architecture search,,,,,,,,,
Cross-silo federated neural architecture search for heterogeneous and cooperative systems,,,,,,,,,
SFNAS-DDPG: A biomass-based energy hub dynamic scheduling approach via connecting supervised federated neural architecture search and deep deterministic policy gradient,,,,,,,,,
SPIDER: Searching personalized neural architecture for federated learning,/,/,/,+,+,/,/,/,/
SuperFedNAS: Cost-efficient federated neural architecture search for on-device inference,,,,,,,,,
A supernet-only framework for federated learning in computationally heterogeneous scenarios,,,,,,,,,
Supervised federated neural architecture search and its application in power system forecasting,,,,,,,,,
Wind power forecasting based on ensemble deep learning with surrogate-assisted evolutionary neural architecture search and many-objective federated learning,,,,,,,,,
